"ID d'entreprise","Raison sociale","Adresse","Code postal","Ville","Pays","Chiffre d'affaires (€)","Cap Rating","Code NACE","Code SIC","Date de création"
"FR55208131766522","ELECTRICITE DE FRANCE","22 AV DE WAGRAM, 22-30","75008","PARIS","France","85601000000","6.666666666666667","3511","4911","30/11/1954"
"FR54206547901478","STELLANTIS AUTO SAS","43 RUE JEAN PIERRE TIMBAUD","78300","POISSY","France","64035821000","3.6666666666666665","2910","3711","30/11/1953"
"FR38347481400100","AIRBUS","2 ROND-POINT DEWOITINE","31700","BLAGNAC","France","57955086000","5.666666666666667","3030","3721","30/11/1990"
"FR78012998704037","RENAULT SAS","122B AVENUE DU GENERAL LECLERC, 122-122","92100","BOULOGNE-BILLANCOURT","France","54501000000","5.666666666666667","2910","3711","30/11/1966"
"FR54210765113030","ENGIE","FAUBOURG DE L'ARCHE PL SAMUEL DE CHAMPLAIN","92400","COURBEVOIE","France","40817000000","5","3523","4922","30/11/1953"
"FR56202442200486","CMA CGM","4 QUAID'ARENC","13002","MARSEILLE","France","34741400000","6.666666666666667","5020","4449","30/11/1955"
"FR53168044500024","TOTALENERGIES MARKETING FRANCE","562 AV DU PARC DE L ILE","92000","NANTERRE","France","27981489000","5","4671","5172","30/11/2010"
"FR38298492000043","TOYOTA MOTOR EUROPE","60 AV DU BOURGET 1140 BRUXELLES, 60 AV DU BOURGET","","","France","26154635395","3.5","","",""
"FR77566225700150","SANOFI WINTHROP INDUSTRIE","78 AU 84 82 AV RASPAIL","94250","GENTILLY","France","25341000000","5.666666666666667","2120","2834","30/11/1972"
"FR38012986648625","ORANGE","111 QUAI DU PRESIDENT ROOSEVELT","92130","ISSY-LES-MOULINEAUX","France","24685000000","5.333333333333333","6110","4813","30/11/1990"
"FR44028375200010","CSF","ZI RTE DE PARIS, ZI","14120","MONDEVILLE","France","24181496576","5.333333333333333","4639","5199","30/11/2000"
"FR52922174900011","TOTALENERGIES RAFFINAGE FRANCE","LA DEFENSE 2 PL JEAN MILLIER, LA DEFENSE","92400","COURBEVOIE","France","23586989322","5","1920","2911","30/11/2009"
"FR34119222700013","ITM ALIMENTAIRE INTERNATIONAL","24 RUE AUGUSTE CHABRIERES","75015","PARIS","France","22898805727","6","4617","5199","30/11/1986"
"FR51903758414786","SNCF VOYAGEURS","1 RUE CAMILLE MOKE","93210","SAINT-DENIS","France","22732000000","4","4910","4111","30/11/2008"
"FR35121675900016","TECHWOOD","100 RUE PETIT","75019","PARIS","France","20302711000","6","2920","3711","30/11/1988"
"FR44460844215578","ENEDIS","4 PLACE DE LA PYRAMIDE","92800","PUTEAUX","France","19932000000","4.333333333333333","3513","4911","30/11/2001"
"FR-322-6120ZN","ONATI SAS","Roundabout of the Marine Base ? Fare Ute","98713","PAPEETE","France","19027000000","","6190","4813","30/11/2017"
"FR42049517800014","SOCIETE AIR FRANCE","CHEZ AIR FRANCE 45 RUE DE PARIS","93290","TREMBLAY-EN-FRANCE","France","18706000000","4.666666666666667","5110","4512","30/11/1997"
"FR31528111300052","SOC D'IMPORTATION LECLERC","26 QUAI MARCEL BOYER","94200","IVRY-SUR-SEINE","France","18594618808","4","4671","5172","30/11/1978"
"FR51509463900017","SPRING TRAVEL SERVICE SARL","12 RUE TAHA HOUSSEINE HOUMET SOUK, SOUK DJERBA","","","France","17659011306","7.2","","",""
"FR54201005312623","NORTH ATLANTIC ENERGIES","20 RUE PAUL HEROULT","92000","NANTERRE","France","17634516000","4","1920","2911","30/11/1953"
"FR-322-031195","BRASSERIE DE TAHITI S.A.","17 Pl Notre Dame","98713","PAPEETE","France","16400000000","","1105","2082","30/11/1913"
"FR42225193400051","SINERGY","26 QUAI MARCEL BOYER","94200","IVRY-SUR-SEINE","France","15404596215","4","4612","5172","30/11/1998"
"FR30460295600142","COOPERATIVE U","PARC TERTIAIRE SILIC BATIMENT MONTREAL 20 RUE D ARCUEIL, PARC TERTIAIRE SILIC BAT MONTREAL","94150","RUNGIS","France","15388392000","4","4617","5199","30/11/1976"
"FR41228073720375","SNCF RESEAU","15 RUE JEAN PHILIPPE RAMEAU, 15 AU 17","93200","SAINT-DENIS","France","15281000000","3","5221","4731","30/11/1996"
