"ID d'entreprise","Raison sociale","Nombre d'employés","Tranche effectifs","Site web","Chiffre d'affaires (€)"
"FR55208131766522","ELECTRICITE DE FRANCE","64981","Plus de 10 000 salariés","http://www.edf.com","85601000000"
"FR54206547901478","STELLANTIS AUTO SAS","34175","Plus de 10 000 salariés","http://www.psa-peugeot-citroen.com","64035821000"
"FR38347481400100","AIRBUS","5000","De 5 000 à 9 999 salariés","http://www.airbus.com","57955086000"
"FR78012998704037","RENAULT SAS","1000","De 1 000 à 1 999 salariés","https://www.renaultgroup.com","54501000000"
"FR54210765113030","ENGIE","1000","De 1 000 à 1 999 salariés","https://www.engie.com","40817000000"
"FR56202442200486","CMA CGM","2000","De 2 000 à 4 999 salariés","http://www.cma-cgm.com","34741400000"
"FR53168044500024","TOTALENERGIES MARKETING FRANCE","500","De 500 à 999 salariés","https://services.totalenergies.fr","27981489000"
"FR38298492000043","TOYOTA MOTOR EUROPE","","","","26154635395"
"FR77566225700150","SANOFI WINTHROP INDUSTRIE","500","De 500 à 999 salariés","https://www.sanofi.com","25341000000"
"FR38012986648625","ORANGE","10000","Plus de 10 000 salariés","http://www.orange.com","24685000000"
"FR44028375200010","CSF","10","De 10 à 19 salariés","https://www.carrefour.com","24181496576"
"FR52922174900011","TOTALENERGIES RAFFINAGE FRANCE","100","De 100 à 199 salariés","https://totalenergies.com","23586989322"
"FR34119222700013","ITM ALIMENTAIRE INTERNATIONAL","10","De 10 à 19 salariés","www.intermarche.com","22898805727"
"FR51903758414786","SNCF VOYAGEURS","75174","Plus de 10 000 salariés","https://www.sncf-voyageurs.com","22732000000"
"FR35121675900016","TECHWOOD","50","De 50 à 99 salariés","www.trigano.fr","20302711000"
"FR44460844215578","ENEDIS","3","De 3 à 5 salariés","","19932000000"
"FR-322-6120ZN","ONATI SAS","626","De 500 à 999 salariés","","19027000000"
"FR42049517800014","SOCIETE AIR FRANCE","2000","De 2 000 à 4 999 salariés","http://www.airfrance.fr","18706000000"
